combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
384,0.08,0.001,40,0.98,130,0.8588065597985798
385,0.08,0.001,50,0.8,37,0.8282641596475061
386,0.08,0.001,50,0.85,46,0.8394984329386806
387,0.08,0.001,50,0.9,64,0.8434799782782703
388,0.08,0.001,50,0.95,80,0.8409156457708857
389,0.08,0.001,50,0.98,116,0.8490547157474193
390,0.08,0.001,60,0.8,28,0.8297006906710503
391,0.08,0.001,60,0.85,35,0.8274270039869818
392,0.08,0.001,60,0.9,50,0.8314028649086828
393,0.08,0.001,60,0.95,65,0.8352213534943154
394,0.08,0.001,60,0.98,97,0.8599236456746746
395,0.08,0.001,70,0.8,21,0.8319532678943886
396,0.08,0.001,70,0.85,29,0.8200851281792769
397,0.08,0.001,70,0.9,41,0.8312684296127244
398,0.08,0.001,70,0.95,52,0.826985076211
399,0.08,0.001,70,0.98,76,0.8383287733629186
400,0.08,0.005,30,0.8,46,0.8282172304316049
401,0.08,0.005,30,0.85,56,0.8486140529295071
402,0.08,0.005,30,0.9,79,0.8489379822926676
403,0.08,0.005,30,0.95,105,0.8463109079493712
404,0.08,0.005,30,0.98,151,0.8565278990887568
405,0.08,0.005,40,0.8,37,0.8368913970808368
406,0.08,0.005,40,0.85,48,0.8471633935729302
407,0.08,0.005,40,0.9,70,0.8519445055343656
408,0.08,0.005,40,0.95,89,0.8436897616321932
409,0.08,0.005,40,0.98,128,0.856777620626884
410,0.08,0.005,50,0.8,34,0.832073614093076
411,0.08,0.005,50,0.85,44,0.8330212334742058
412,0.08,0.005,50,0.9,61,0.8368395400202869
413,0.08,0.005,50,0.95,79,0.840248490178418
414,0.08,0.005,50,0.98,114,0.8449068025203689
415,0.08,0.005,60,0.8,25,0.8354671000433662
416,0.08,0.005,60,0.85,33,0.8318798997356527
417,0.08,0.005,60,0.9,48,0.8191114275210454
418,0.08,0.005,60,0.95,62,0.8357321789788239
419,0.08,0.005,60,0.98,93,0.8441494194795462
420,0.08,0.005,70,0.8,22,0.8270188314884406
421,0.08,0.005,70,0.85,30,0.8324501169021186
422,0.08,0.005,70,0.9,42,0.8329973851136193
423,0.08,0.005,70,0.95,53,0.8227576900403232
424,0.08,0.005,70,0.98,76,0.8405545641299206
425,0.08,0.01,30,0.8,45,0.8395715317091828
426,0.08,0.01,30,0.85,56,0.8486457136044191
427,0.08,0.01,30,0.9,78,0.8575971755717278
428,0.08,0.01,30,0.95,103,0.8462556972019891
429,0.08,0.01,30,0.98,150,0.8548945129432355
430,0.08,0.01,40,0.8,40,0.8441986854443435
431,0.08,0.01,40,0.85,49,0.8468410362795844
432,0.08,0.01,40,0.9,72,0.8570185886321775
433,0.08,0.01,40,0.95,91,0.8474906839354694
434,0.08,0.01,40,0.98,129,0.8579862585140322
435,0.08,0.01,50,0.8,32,0.837571378610374
436,0.08,0.01,50,0.85,43,0.8273849351304443
437,0.08,0.01,50,0.9,60,0.8319471396559461
438,0.08,0.01,50,0.95,77,0.8376628796327283
439,0.08,0.01,50,0.98,111,0.8426747024222536
440,0.08,0.01,60,0.8,25,0.8354671000433662
441,0.08,0.01,60,0.85,34,0.8371744123425972
442,0.08,0.01,60,0.9,49,0.8370844460319897
443,0.08,0.01,60,0.95,62,0.8282283533305762
444,0.08,0.01,60,0.98,94,0.8458555671529492
445,0.08,0.01,70,0.8,22,0.8229689557083135
