smiles,source_columns
Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,T5.csv:smiles1
Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)C1(CCCC1)c1ccc(cc1)Oc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)C1(CCCC1)c1ccc(cc1)Oc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,T5.csv:smiles1;Tg.csv:smiles1
Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,T5.csv:smiles1;Tg.csv:smiles1
Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,T5.csv:smiles1;Tg.csv:smiles1
Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,T5.csv:smiles1;Tg.csv:smiles1
ClC(C1=CC=C(C=C1)C(Cl)=O)=O,LOI.csv:smiles2;Tg.csv:smiles2
ClC(C[Rb])[Fr],LOI.csv:smiles1
FC(F)(C1=CC=C(C2=NC(C3=CC=C(OC(C=CC([Fr])=C4)=C4C5=NC(C6=CC=CC=C6)=C(C7=CCCC=C7)N5)C=C3)=C(C8=CC=C(OC9=C(C%10=NC(C%11=CC=CC=C%11)=C(C%12=CCCC=C%12)N%10)C=C(N%13C(C%14C(C%15=C%14C=C(C(C(N%16[Rb])=O)C%17C%16=O)C%17=C%15)C%13=O)=O)C=C9)C=C8)N2)C=C1)F,T5.csv:smiles1;Tg.csv:smiles1
FC(F)(C1=CC=C(C2=NC(C3=CC=C(OC(C=CC([Fr])=C4)=C4C5=NC(C6=CC=CC=C6)=C(C7=CCCC=C7)N5)C=C3)=C(C8=CC=C(OC9=C(C%10=NC(C%11=CC=CC=C%11)=C(C%12=CCCC=C%12)N%10)C=C(N%13C(C%14C(C%15C%14C%16C(C(C(N%17[Rb])=O)C%18C%17=O)C%18C%15C=C%16)C%13=O)=O)C=C9)C=C8)N2)C=C1)F,T5.csv:smiles1;Tg.csv:smiles1
N#CC([Fr])C[Rb],LOI.csv:smiles1;LOI.csv:smiles2;Tg.csv:smiles1
N#COc1cc(cc(c1)Cc1cc([Fr])cc(c1)OC#N)Cc1cc([Rb])cc(c1)OC#N,T5.csv:smiles1
NC1=NC(N)=NC([NH3+])=N1.[NH3+]C2=NC([NH3+])=NC(N)=N2.O=P([O-])(O)CN(CP(O)([O-])=O)CP(O)([O-])=O,LOI.csv:mix_smiles2;UL-94.csv:mix_smiles2
O=C(C(C([Fr])=O)CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)NCCCCCN[Rb],LOI.csv:smiles2;UL-94.csv:mix_smiles1;UL-94.csv:smiles2
O=C(C(C1=C2)=CC(C3=O)=C2C(N3C(C=C4)=CC=C4OCC5=CN(N=N5)C(C=C6)=CC=C6OC(C=C7)=CC=C7OC(C=C8)=CC=C8N(N=N9)C=C9COC(C=C%10)=CC=C%10[*])=O)N([*])C1=O,LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1
O=C(C(C1=C2)=CC(C3=O)=C2C(N3C(C=C4)=CC=C4OCC5=CN(N=N5)CCCN(N=N6)C=C6COC(C=C7)=CC=C7[*])=O)N([*])C1=O,LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1
O=C(C(C1=C2)=CC=C2C(C=C3C4=O)=CC=C3C(N4OCCO[Rb])=O)N(OCCOC(C5=CC=C(C=C5)C([Fr])=O)=O)C1=O,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:mix_smiles1
O=C(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC([Fr])=O)NCCCCCN[Rb],LOI.csv:smiles2;Tg.csv:smiles2
O=C(C1=C2C=C(C3=C1)C(N(C3=O)C4=C(C=C(C=C4)C([Fr])=O)O)=O)N(C2=O)C5=C(C=C(C=C5)C(OCCO[Rb])=O)O,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
O=C(C1=C2C=CC(C3=NC4=C(O3)C=CC(C(C(F)(F)F)(C(F)(F)F)C5=CC=C6OC([Fr])=NC6=C5)=C4)=C1)N(C2=O)C7=CC(N8C(C9=CC([Rb])=CC=C9C8=O)=O)=CC=C7,T5.csv:smiles1
O=C(C1=CC(C(C(F)(F)F)(C(F)(F)F)C2=CC(C(N([Rb])C3=O)=O)=C3C=C2)=CC=C1C4=O)N4C(NC5=CC=C(S(=O)(C6=CC=C(NC([Fr])=S)C=C6)=O)C=C5)=S,LOI.csv:smiles1
O=C(C1=CC(C(N(C2=CC(N3C(C4=CC(C([Rb])=O)=CC=C4C3=O)=O)=CC=C2)C5=O)=O)=C5C=C1)NC6=C(O)C=C(C7=CC(O)=C(N[Fr])C=C7)C=C6,T5.csv:smiles1
O=C(C1=CC(C(N(C2=CC(N3C(C4=CC(C([Rb])=O)=CC=C4C3=O)=O)=CC=C2)C5=O)=O)=C5C=C1)NC6=C(O)C=CC(C(C7=CC=C(O)C(N[Fr])=C7)(C(F)(F)F)C(F)(F)F)=C6,T5.csv:smiles1
O=C(C1=CC(C(N([Rb])C2=O)=O)=C2C=C1C3=O)N3C(NC4=CC=C(S(=O)(C5=CC=C(NC([Fr])=S)C=C5)=O)C=C4)=S,LOI.csv:smiles1
O=C(C1=CC(C(OCCCO[Rb])=O)=CC(N2C(C3=C(C2=O)C=C(C=C3)C#CC4=CC=CC=C4)=O)=C1)[Fr],LOI.csv:smiles2;T5.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C(OCCCO[Rb])=O)=CC(N2C(C3=C(C2=O)C=CC=C3)=O)=C1)[Fr],LOI.csv:smiles2;T5.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C(OCCO[Rb])=O)=CC(/N=C/C2=C(C=CC=C2)C#N)=C1)[Fr],LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C(OCCO[Rb])=O)=CC(/N=C/C2=C(C=CC=C2)O)=C1)[Fr],LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
