combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
202,0.03,0.02,30,0.9,210,0.6411309663303417
203,0.03,0.02,30,0.95,292,0.6727976474353706
204,0.03,0.02,30,0.98,445,0.6600363471440106
205,0.03,0.02,40,0.8,109,0.6110544339031637
206,0.03,0.02,40,0.85,145,0.6277984169163457
207,0.03,0.02,40,0.9,195,0.6463795548901798
208,0.03,0.02,40,0.95,269,0.6691205098367339
209,0.03,0.02,40,0.98,410,0.6660247743656613
210,0.03,0.02,50,0.8,89,0.6110521487431
211,0.03,0.02,50,0.85,124,0.6370731347564804
212,0.03,0.02,50,0.9,165,0.6411076161598983
213,0.03,0.02,50,0.95,228,0.6710033725748517
214,0.03,0.02,50,0.98,351,0.6533850570774391
215,0.03,0.02,60,0.8,75,0.5898450732106824
216,0.03,0.02,60,0.85,103,0.6330676522610252
217,0.03,0.02,60,0.9,142,0.6445481061535387
218,0.03,0.02,60,0.95,201,0.6902072776663266
219,0.03,0.02,60,0.98,292,0.6767286588955665
220,0.03,0.02,70,0.8,63,0.5649467637090544
221,0.03,0.02,70,0.85,88,0.6307171060375637
222,0.03,0.02,70,0.9,116,0.6545796593542017
223,0.03,0.02,70,0.95,166,0.6711943574069305
224,0.03,0.02,70,0.98,244,0.6757178832911371
225,0.03,0.05,30,0.8,100,0.569731228079671
226,0.03,0.05,30,0.85,138,0.6097080761743799
227,0.03,0.05,30,0.9,188,0.6272695585057495
228,0.03,0.05,30,0.95,258,0.6812817137332988
229,0.03,0.05,30,0.98,398,0.6767681949149735
230,0.03,0.05,40,0.8,93,0.5936486754986754
231,0.03,0.05,40,0.85,123,0.6055950165174329
232,0.03,0.05,40,0.9,169,0.6277065787320716
233,0.03,0.05,40,0.95,232,0.6584727856137941
234,0.03,0.05,40,0.98,361,0.6673919660223626
235,0.03,0.05,50,0.8,75,0.6067393156391871
236,0.03,0.05,50,0.85,104,0.6299401345011477
237,0.03,0.05,50,0.9,143,0.6447508426263457
238,0.03,0.05,50,0.95,197,0.6810052807827026
239,0.03,0.05,50,0.98,318,0.6789320126626281
240,0.03,0.05,60,0.8,68,0.5866323139768049
241,0.03,0.05,60,0.85,91,0.6297261614320353
242,0.03,0.05,60,0.9,123,0.6609600415034533
243,0.03,0.05,60,0.95,178,0.6784140305853479
244,0.03,0.05,60,0.98,265,0.6695376326175797
245,0.03,0.05,70,0.8,49,0.5823430326357482
246,0.03,0.05,70,0.85,72,0.6205817888051045
247,0.03,0.05,70,0.9,96,0.6612715449227557
248,0.03,0.05,70,0.95,143,0.6736833662281756
249,0.03,0.05,70,0.98,208,0.6566831474838614
250,0.05,0.001,30,0.8,72,0.5860162235437575
251,0.05,0.001,30,0.85,99,0.6142772478651778
252,0.05,0.001,30,0.9,132,0.6616256354930048
253,0.05,0.001,30,0.95,187,0.6818575816696206
254,0.05,0.001,30,0.98,277,0.6592822922673525
255,0.05,0.001,40,0.8,57,0.5923153789558733
256,0.05,0.001,40,0.85,82,0.6191263613296154
257,0.05,0.001,40,0.9,111,0.6463204600641421
258,0.05,0.001,40,0.95,159,0.6768867542730224
259,0.05,0.001,40,0.98,236,0.6548600376518788
