DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,mix_content3,mix_smiles3,mix_wt3,mix_mol3,mix_content4,mix_smiles4,mix_wt4,mix_mol4,UL-94
10.1039/D0RA07822K,copolymer,,Polyamide66(PA66),[Rb]NCCCCCCNC(CCCCC(NCCCCCCNC(CCCCC(OCCOP(CCC([Fr])=O)(C1=CC=CC=C1)=O)=O)=O)=O)=O,[Rb]NCCCCCCNC(CCCCC([Fr])=O)=O,[Rb]NCCCCCCNC(CCCCC(OCCOP(CCC([Fr])=O)(C1=CC=CC=C1)=O)=O)=O,PA66salt,94,,[NH3+]CCCCCCNC(CCCCC([O-])=O)=O,CPPOA,6,,,,,,,,,,,,,,,,,,V-0
10.1039/D0RA07822K,copolymer,,Polyamide66(PA66),[Rb]NCCCCCCNC(CCCCC(NCCCCCCNC(CCCCC(OCCOP(CCC([Fr])=O)(C1=CC=CC=C1)=O)=O)=O)=O)=O,[Rb]NCCCCCCNC(CCCCC([Fr])=O)=O,[Rb]NCCCCCCNC(CCCCC(OCCOP(CCC([Fr])=O)(C1=CC=CC=C1)=O)=O)=O,PA66salt,92,,[NH3+]CCCCCCNC(CCCCC([O-])=O)=O,CPPOA,8,,,,,,,,,,,,,,,,,,V-0
10.1007/s10924-022-02466-6,copolymer,,Polyamide56(PA56),O=C(CC(CP1(OC2=C(C=CC=C2)C3=C1C=CC=C3)=O)C([Fr])=O)NCCCCCNC(CCCCC(NCCCCCN[Rb])=O)=O,[Rb]NCCCCCNC(CCCCC([Fr])=O)=O,O=C(CC(CP1(OC2=C(C=CC=C2)C3=C1C=CC=C3)=O)C([Fr])=O)NCCCCCN[Rb],PA56salt,,99,[O-]C(CCCCC([O-])=O)=O.[NH3+]CCCCC[NH3+],PDA-DDPsalt,,1,,,,,,,,,,,,,,,,,V-0
10.1007/s10924-022-02466-6,copolymer,,Polyamide56(PA56),O=C(CC(CP1(OC2=C(C=CC=C2)C3=C1C=CC=C3)=O)C([Fr])=O)NCCCCCNC(CCCCC(NCCCCCN[Rb])=O)=O,[Rb]NCCCCCNC(CCCCC([Fr])=O)=O,O=C(CC(CP1(OC2=C(C=CC=C2)C3=C1C=CC=C3)=O)C([Fr])=O)NCCCCCN[Rb],PA56salt,,98.8,[O-]C(CCCCC([O-])=O)=O.[NH3+]CCCCC[NH3+],PDA-DDPsalt,,1.2,,,,,,,,,,,,,,,,,V-0
10.1002/pol.20230521,copolymer,,DOPO-ITA3,[Rb]CCCCCCNC(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC(NCCCCCC([Fr])=O)=O)=O,[Rb]NCCCCCC([Fr])=O,[Rb]CCCCCCNC(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC([Fr])=O)=O,PA6,3,,,DOPO-ITA,97,,,,,,,,,,,,,,,,,,V-0
10.1002/pol.20230521,copolymer,,DOPO-ITA4.5,[Rb]CCCCCCNC(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC(NCCCCCC([Fr])=O)=O)=O,[Rb]NCCCCCC([Fr])=O,[Rb]CCCCCCNC(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC([Fr])=O)=O,PA6,4.5,,,DOPO-ITA,95.5,,,,,,,,,,,,,,,,,,V-0
10.1016/j.reactfunctpolym.2020.104631,copolymer,,MMA-HPD15,O=C(C(CC(C(OC)=O)(C)C[Rb])[Fr])OCCOP(OCP(OCC)(OCC)=O)(C1=CC=CC=C1)=O,CC(C(OC)=O)([Fr])C[Rb],CCOP(COP(OCCOC(C([Fr])C[Rb])=O)(C1=CC=CC=C1)=O)(OCC)=O,PMMA,87,,,HPD,13,,,,,,,,,,,,,,,,,,V-0
10.1039/C6PY00183A,copolymer,,PET-co-DPDPI10,O=C(C1=CC(C(OCCOC(C(C=C2)=CC=C2C([Fr])=O)=O)=O)=CC(N3C(C=C(C3=O)C4=CC=CC=C4)=O)=C1)OCCO[Rb],O=C([Fr])C1=CC=C(C=C1)C(OCCO[Rb])=O,O=C(C1=CC(C([Fr])=O)=CC(N2C(C=C(C2=O)C3=CC=CC=C3)=O)=C1)OCCO[Rb],PET,,100,,DPDPI,,9.9,,,,,,,,,,,,,,,,,V-0
10.1016/j.cej.2023.144983,copolymer,,PA 6-co-DPA2b,[Fr]C(CCCCCNC(C1=CC(C(NCCCCCC([Rb])=O)=O)=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=C1)=O)=O,[Rb]NCCCCCC([Fr])=O,[Rb]C(CCCCCNC(C1=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=CC(C([Fr])=O)=C1)=O)=O,PA6,,100,NCCCCCC(O)=O,DPA,,2,,,,,,,,,,,,,,,,,V-0
10.1016/j.cej.2023.144983,copolymer,,PA 6-co-DPA3b,[Fr]C(CCCCCNC(C1=CC(C(NCCCCCC([Rb])=O)=O)=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=C1)=O)=O,[Rb]NCCCCCC([Fr])=O,[Rb]C(CCCCCNC(C1=CC(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=CC(C([Fr])=O)=C1)=O)=O,PA6,,100,NCCCCCC(O)=O,DPA,,3,,,,,,,,,,,,,,,,,V-0
