combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
259,0.05,0.001,40,0.98,214,0.6694725640825527
260,0.05,0.001,50,0.8,64,0.632357318581776
261,0.05,0.001,50,0.85,82,0.6318318679590785
262,0.05,0.001,50,0.9,106,0.6231472640482958
263,0.05,0.001,50,0.95,147,0.6591751647447458
264,0.05,0.001,50,0.98,189,0.6555757596509691
265,0.05,0.001,60,0.8,57,0.6285457762000162
266,0.05,0.001,60,0.85,74,0.6287476662706204
267,0.05,0.001,60,0.9,96,0.6300941885930476
268,0.05,0.001,60,0.95,132,0.6582846348256508
269,0.05,0.001,60,0.98,168,0.6594684997573644
270,0.05,0.001,70,0.8,47,0.6147150336300866
271,0.05,0.001,70,0.85,60,0.6208512181619854
272,0.05,0.001,70,0.9,78,0.6317704603112134
273,0.05,0.001,70,0.95,108,0.6512185065137085
274,0.05,0.001,70,0.98,136,0.6594361214525828
275,0.05,0.005,30,0.8,83,0.7653418352949355
276,0.05,0.005,30,0.85,98,0.7722459272570552
277,0.05,0.005,30,0.9,125,0.7471159554544989
278,0.05,0.005,30,0.95,177,0.758723162040934
279,0.05,0.005,30,0.98,235,0.7655090110985259
280,0.05,0.005,40,0.8,73,0.7294612190470133
281,0.05,0.005,40,0.85,89,0.7416684092033176
282,0.05,0.005,40,0.9,116,0.7299632257469545
283,0.05,0.005,40,0.95,156,0.7351724882914896
284,0.05,0.005,40,0.98,212,0.7255696695091909
285,0.05,0.005,50,0.8,61,0.7272301179655467
286,0.05,0.005,50,0.85,78,0.7333385164576431
287,0.05,0.005,50,0.9,101,0.7323948514968208
288,0.05,0.005,50,0.95,139,0.731909784152952
289,0.05,0.005,50,0.98,186,0.7335555911537697
290,0.05,0.005,60,0.8,52,0.7102055883042044
291,0.05,0.005,60,0.85,66,0.7081805044694099
292,0.05,0.005,60,0.9,90,0.7173582419622553
293,0.05,0.005,60,0.95,122,0.7265134136704201
294,0.05,0.005,60,0.98,165,0.7291015916840833
295,0.05,0.005,70,0.8,46,0.7052244949203311
296,0.05,0.005,70,0.85,57,0.7193444057085356
297,0.05,0.005,70,0.9,78,0.7206801829954586
298,0.05,0.005,70,0.95,104,0.7303338231065953
299,0.05,0.005,70,0.98,134,0.7342787083525171
300,0.05,0.01,30,0.8,80,0.7252739295436528
301,0.05,0.01,30,0.85,100,0.7251466036180197
302,0.05,0.01,30,0.9,128,0.7333197265043806
303,0.05,0.01,30,0.95,174,0.7361824527076977
304,0.05,0.01,30,0.98,228,0.7323552063870289
305,0.05,0.01,40,0.8,69,0.7294415752730297
306,0.05,0.01,40,0.85,87,0.728922344453132
307,0.05,0.01,40,0.9,113,0.7318532132823072
308,0.05,0.01,40,0.95,154,0.7217463927816211
309,0.05,0.01,40,0.98,206,0.7195437088096897
310,0.05,0.01,50,0.8,59,0.7108817841668936
311,0.05,0.01,50,0.85,73,0.71896057341698
312,0.05,0.01,50,0.9,97,0.7323852812628682
313,0.05,0.01,50,0.95,133,0.7320901080314954
314,0.05,0.01,50,0.98,177,0.7284188525983918
315,0.05,0.01,60,0.8,51,0.6435797012384581
316,0.05,0.01,60,0.85,65,0.6479132507428137
317,0.05,0.01,60,0.9,85,0.631880057229058
318,0.05,0.01,60,0.95,114,0.6446981006510001
319,0.05,0.01,60,0.98,150,0.6586430009703373
320,0.05,0.01,70,0.8,44,0.6526330406648766
321,0.05,0.01,70,0.85,54,0.627125822245817
322,0.05,0.01,70,0.9,72,0.6348251939691149
323,0.05,0.01,70,0.95,97,0.6529696122404723
324,0.05,0.01,70,0.98,127,0.6533406825265862
